Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:46:04,4,3600,393.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:46:05,4,3600,394.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:46:06,4,3600,395.6,1.27,13.3,7,11,0.191,10,0,1.19
,12:46:07,4,3600,396.6,1.27,13.3,7,11,0.19,10,0,1.19
,12:46:08,4,3600,397.6,1.28,13.3,7,11,0.191,10,0,1.2
,12:46:09,4,3600,398.6,1.29,13.3,7,11,0.193,10,0.1,1.2
,12:46:10,4,3600,399.6,1.29,13.3,7,11,0.187,10,0,1.21
,12:46:11,4,3600,400.6,1.29,13.3,7,11,0.187,10,0,1.21
,12:46:12,4,3600,401.6,1.29,13.3,7,11,0.18,10,0,1.21
,12:46:13,4,3600,402.6,1.29,13.3,7,11,0.193,10,0,1.21
,12:46:14,4,3600,403.6,1.28,13.3,7,11,0.193,10,0,1.2
,12:46:15,4,3600,404.6,1.28,13.3,7,11.1,0.193,10,0,1.2
,12:46:16,4,3600,405.6,1.28,13.3,7,11.1,0.185,10,0,1.2
,12:46:17,4,3600,406.6,1.29,13.3,7,11.1,0.193,10,0,1.21
,12:46:18,4,3600,407.6,1.29,13.3,7,11.1,0.194,10,0,1.21
,12:46:19,4,3600,408.6,1.29,13.3,7,11.1,0.187,10,0,1.21
,12:46:20,4,3600,409.6,1.29,13.3,7,11.1,0.18,10,0,1.21
,12:46:21,4,3600,410.6,1.29,13.3,7,11.1,0.18,10,0,1.21
,12:46:22,4,3600,411.6,1.29,13.3,7,11.1,0.187,10,0,1.21
,12:46:23,4,3600,412.6,1.29,13.3,7,11.1,0.193,10,0,1.2
,12:46:24,4,3600,413.6,1.28,13.3,6,11.1,0.2,10,0,1.2
,12:46:25,4,3600,414.6,1.28,13.3,7,11.1,0.191,10,0,1.2
,12:46:26,4,3600,415.6,1.28,13.3,7,11.1,0.192,10,0,1.2
,12:46:27,4,3600,416.6,1.28,13.3,7,11.2,0.193,10,0,1.2
,12:46:28,4,3600,417.6,1.28,13.3,7,11.2,0.185,10,0,1.2
,12:46:29,4,3600,418.6,1.28,13.3,7,11.2,0.185,10,0,1.2
,12:46:30,4,3600,419.6,1.28,13.3,7,11.2,0.185,10,0,1.2
,12:46:31,4,3600,420.6,1.28,13.3,7,11.2,0.191,10,0,1.2
,12:46:32,4,3600,421.6,1.28,13.3,7,11.2,0.184,10,0,1.19
,12:46:33,4,3600,422.6,1.28,13.3,7,11.2,0.191,10,0.1,1.2
,12:46:34,4,3600,423.6,1.28,13.3,7,11.2,0.185,10,0,1.2
