Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:48:49,4,3600,376.2,1.06,13.3,7,11.9,0.159,10,0,0.99
,12:48:50,4,3600,377.2,1.06,13.3,7,11.9,0.16,10,0.1,1
,12:48:51,4,3600,378.2,1.07,13.3,7,11.9,0.16,10,0,1
,12:48:52,4,3600,379.2,1.07,13.3,7,12,0.16,10,0,1
,12:48:53,4,3600,380.2,1.07,13.3,7,12,0.161,10,0,1
,12:48:54,4,3600,381.2,1.07,13.3,7,12,0.155,10,0,1
,12:48:55,4,3600,382.2,1.08,13.3,7,12,0.162,10,0,1.01
,12:48:56,4,3600,383.2,1.08,13.3,7,12,0.162,10,0,1.01
,12:48:57,4,3600,384.2,1.09,13.3,7,12,0.163,10,0,1.02
,12:48:58,4,3600,385.2,1.08,13.3,7,12,0.162,10,0,1.01
,12:48:59,4,3600,386.2,1.08,13.3,7,12,0.162,10,0,1.01
,12:49:00,4,3600,387.2,1.08,13.3,7,12.1,0.162,10,0,1.01
,12:49:01,4,3600,388.2,1.07,13.3,7,12.1,0.155,10,0,1
,12:49:02,4,3600,389.2,1.08,13.3,7,12.1,0.155,10,0,1.01
,12:49:03,4,3600,390.2,1.08,13.3,7,12.1,0.161,10,0,1.01
,12:49:04,4,3600,391.2,1.08,13.3,7,12.1,0.162,10,0,1.01
,12:49:05,4,3600,392.2,1.08,13.3,7,12.1,0.161,10,0.1,1.01
,12:49:06,4,3600,393.2,1.07,13.3,7,12.1,0.161,10,0,1
,12:49:07,4,3600,394.2,1.07,13.3,7,12.1,0.155,10,0,1
,12:49:08,4,3600,395.2,1.07,13.3,7,12.1,0.161,10,0,1
,12:49:09,4,3600,396.2,1.08,13.3,7,12.1,0.155,10,0,1.01
,12:49:10,4,3600,397.2,1.07,13.3,7,12.1,0.155,10,0,1
,12:49:11,4,3600,398.2,1.07,13.3,7,12.1,0.155,10,0,1
,12:49:12,4,3600,399.2,1.07,13.3,7,12.1,0.154,10,0,1
,12:49:13,4,3600,400.2,1.07,13.3,7,12.2,0.16,10,0,1
,12:49:14,4,3600,401.2,1.06,13.3,7,12.2,0.16,10,0,1
,12:49:15,4,3600,402.2,1.07,13.3,7,12.2,0.16,10,0,1
,12:49:16,4,3600,403.2,1.07,13.3,7,12.2,0.155,10,0,1
,12:49:17,4,3600,404.2,1.07,13.3,7,12.2,0.161,10,0,1
,12:49:18,4,3600,405.2,1.07,13.3,7,12.2,0.161,10,0,1
,12:49:19,4,3600,406.2,1.07,13.3,7,12.2,0.16,10,0.1,1
,12:49:20,4,3600,407.2,1.07,13.3,7,12.2,0.155,10,0,1
,12:49:21,4,3600,408.2,1.07,13.3,7,12.3,0.155,10,0,1
,12:49:22,4,3600,409.2,1.08,13.3,7,12.2,0.155,10,0,1.01
,12:49:23,4,3600,410.2,1.08,13.3,7,12.2,0.161,10,0,1.01
,12:49:24,4,3600,411.2,1.07,13.3,7,12.3,0.155,10,0,1
,12:49:25,4,3600,412.2,1.08,13.3,7,12.3,0.155,10,0,1.01
,12:49:26,4,3600,413.2,1.08,13.3,7,12.3,0.155,10,0,1.01
