Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:10:46,5,3590,303.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:10:47,5,3590,304.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:10:48,5,3590,305.2,0.69,13.3,7,21,0.099,10,49.8,0.66
,14:10:49,5,3590,306.2,0.65,13.3,7,21,0.094,10,49.8,0.62
,14:10:50,5,3590,307.2,0.62,13.3,7,21,0.089,10,49.8,0.59
,14:10:51,5,3590,308.2,0.6,13.3,7,21,0.084,10,49.8,0.58
,14:10:52,5,3590,309.2,0.6,13.3,7,21,0.084,10,49.8,0.58
,14:10:53,5,3590,310.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:10:54,5,3590,311.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:10:55,5,3590,312.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:10:56,5,3590,313.2,0.61,13.3,7,21,0.088,10,49.8,0.59
,14:10:57,5,3590,314.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:10:58,5,3590,315.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:10:59,5,3590,316.2,0.61,13.3,7,21,0.085,10,49.8,0.59
,14:11:00,5,3590,317.2,0.63,13.3,7,21,0.087,10,49.8,0.6
