Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:40:53,4,3600,395.5,0.52,13.3,6,11.4,0.081,10,0.4,0.49
,11:40:54,4,3600,396.5,0.52,13.3,7,11.4,0.078,10,0.5,0.49
,11:40:55,4,3600,397.5,0.52,13.3,7,11.4,0.078,10,0.8,0.49
,11:40:56,4,3600,398.5,0.53,13.3,7,11.4,0.079,10,1.1,0.49
,11:40:57,4,3600,399.5,0.53,13.3,7,11.4,0.079,10,1,0.49
,11:40:58,4,3600,400.5,0.52,13.3,7,11.4,0.078,10,0.8,0.49
,11:40:59,4,3600,401.5,0.52,13.3,7,11.4,0.075,10,0.7,0.49
,11:41:00,4,3600,402.5,0.52,13.3,7,11.4,0.078,10,0.5,0.49
,11:41:01,4,3600,403.5,0.52,13.3,7,11.4,0.075,10,0.3,0.49
,11:41:02,4,3600,404.5,0.52,13.3,7,11.4,0.075,10,0.2,0.49
,11:41:03,4,3600,405.5,0.52,13.3,7,11.5,0.075,10,0.1,0.49
,11:41:04,4,3600,406.5,0.52,13.3,7,11.5,0.075,10,0.1,0.49
,11:41:05,4,3600,407.5,0.52,13.3,7,11.5,0.073,10,0.1,0.49
,11:41:06,4,3600,408.5,0.52,13.3,7,11.5,0.073,10,0.1,0.49
,11:41:07,4,3600,409.5,0.52,13.3,7,11.5,0.073,10,0.1,0.49
,11:41:08,4,3600,410.5,0.52,13.3,7,11.5,0.076,10,0.1,0.49
,11:41:09,4,3600,411.5,0.52,13.3,7,11.6,0.078,10,0.1,0.49
,11:41:10,4,3600,412.5,0.52,13.3,7,11.6,0.077,10,0.1,0.48
,11:41:11,4,3600,413.5,0.51,13.3,7,11.6,0.076,10,0.1,0.48
,11:41:12,4,3600,414.5,0.51,13.3,6,11.6,0.079,10,0,0.48
,11:41:13,4,3600,415.5,0.51,13.3,7,11.6,0.077,10,0.1,0.48
,11:41:14,4,3600,416.5,0.51,13.3,7,11.6,0.074,10,0.1,0.48
,11:41:15,4,3600,417.5,0.52,13.3,7,11.6,0.074,10,0.1,0.48
,11:41:16,4,3600,418.5,0.52,13.3,7,11.6,0.078,10,0.1,0.49
,11:41:17,4,3600,419.5,0.52,13.3,7,11.7,0.078,10,0.1,0.49
,11:41:18,4,3600,420.5,0.52,13.3,7,11.7,0.075,10,0.1,0.49
,11:41:19,4,3600,421.5,0.52,13.3,7,11.7,0.075,10,0.1,0.49
,11:41:20,4,3600,422.5,0.52,13.3,7,11.7,0.073,10,0.1,0.49
,11:41:21,4,3600,423.5,0.53,13.3,7,11.7,0.073,10,0.1,0.49
,11:41:22,4,3600,424.5,0.53,13.3,7,11.7,0.073,10,0.1,0.49
,11:41:23,4,3600,425.5,0.53,13.3,7,11.8,0.073,10,0.1,0.49
,11:41:24,4,3600,426.5,0.52,13.3,7,11.8,0.076,10,0.1,0.49
,11:41:25,4,3600,427.5,0.52,13.3,7,11.8,0.078,10,0.1,0.49
,11:41:26,4,3600,428.5,0.52,13.3,7,11.8,0.078,10,0.1,0.49
,11:41:27,4,3600,429.5,0.52,13.3,7,11.8,0.077,10,0.1,0.48
,11:41:28,4,3600,430.5,0.52,13.3,7,11.8,0.074,10,0.1,0.48
,11:41:29,4,3600,431.5,0.52,13.3,7,11.9,0.077,10,0.1,0.48
,11:41:30,4,3600,432.5,0.51,13.3,7,11.9,0.077,10,0.1,0.48
,11:41:31,4,3600,433.5,0.52,13.3,7,11.9,0.074,10,0.1,0.48
,11:41:32,4,3600,434.5,0.52,13.3,7,11.9,0.074,10,0.1,0.48
,11:41:33,4,3600,435.5,0.52,13.3,7,11.9,0.075,10,0.1,0.49
,11:41:34,4,3600,436.5,0.52,13.3,6,11.9,0.08,10,0.1,0.48
,11:41:35,4,3600,437.5,0.52,13.3,6,11.9,0.081,10,0.1,0.49
,11:41:36,4,3600,438.5,0.52,13.3,7,11.9,0.078,10,0.1,0.49
,11:41:37,4,3600,439.5,0.52,13.3,7,11.9,0.079,10,0.1,0.49
,11:41:38,4,3600,440.5,0.53,13.3,7,12,0.079,10,0.1,0.49
,11:41:39,4,3600,441.5,0.53,13.3,7,12,0.076,10,0.1,0.49
,11:41:40,4,3600,442.5,0.53,13.3,7,12,0.076,10,0.1,0.49
,11:41:41,4,3600,443.5,0.53,13.3,7,12,0.074,10,0.1,0.49
,11:41:42,4,3600,444.5,0.53,13.3,7,12.1,0.074,10,0.1,0.5
,11:41:43,4,3600,445.5,0.53,13.3,7,12.1,0.074,10,0.1,0.5
,11:41:44,4,3600,446.5,0.53,13.3,7,12.1,0.071,10,0.1,0.5
,11:41:45,4,3600,447.5,0.53,13.3,7,12.1,0.076,10,0.1,0.49
,11:41:46,4,3600,448.5,0.53,13.3,7,12.1,0.079,10,0.1,0.49
,11:41:47,4,3600,449.5,0.53,13.3,7,12.1,0.079,10,0.1,0.49
,11:41:48,4,3600,450.5,0.53,13.3,7,12.2,0.079,10,0.1,0.49
,11:41:49,4,3600,451.5,0.53,13.3,7,12.2,0.079,10,0.1,0.49
,11:41:50,4,3600,452.5,0.53,13.3,6,12.2,0.082,10,0.1,0.49
,11:41:51,4,3600,453.5,0.53,13.3,7,12.2,0.079,10,0.1,0.49
,11:41:52,4,3600,454.5,0.53,13.3,7,12.2,0.077,10,0.1,0.5
,11:41:53,4,3600,455.5,0.53,13.3,7,12.2,0.08,10,0.1,0.5
,11:41:54,4,3600,456.5,0.53,13.3,7,12.2,0.08,10,0.1,0.5
,11:41:55,4,3600,457.5,0.53,13.3,7,12.2,0.079,10,0.1,0.49
,11:41:56,4,3600,458.5,0.53,13.3,7,12.2,0.076,10,0.1,0.49
,11:41:57,4,3600,459.5,0.53,13.3,7,12.3,0.079,10,0.1,0.49
,11:41:58,4,3600,460.5,0.53,13.3,6,12.3,0.082,10,0.1,0.5
,11:41:59,4,3600,461.5,0.53,13.3,6,12.3,0.083,10,0.1,0.5
,11:42:00,4,3600,462.5,0.53,13.3,7,12.3,0.079,10,0.1,0.49
,11:42:01,4,3600,463.5,0.53,13.3,7,12.3,0.076,10,0.1,0.49
,11:42:02,4,3600,464.5,0.53,13.3,7,12.3,0.076,10,0.1,0.49
,11:42:03,4,3600,465.5,0.53,13.3,7,12.4,0.076,10,0.1,0.49
,11:42:04,4,3600,466.5,0.53,13.3,7,12.4,0.076,10,0.1,0.49
,11:42:05,4,3600,467.5,0.52,13.3,7,12.4,0.076,10,0.1,0.49
,11:42:06,4,3600,468.5,0.52,13.3,7,12.4,0.073,10,0.1,0.49
,11:42:07,4,3600,469.5,0.52,13.3,7,12.4,0.075,10,0.1,0.49
,11:42:08,4,3600,470.5,0.52,13.3,7,12.5,0.075,10,0.1,0.49
,11:42:09,4,3600,471.5,0.52,13.3,7,12.5,0.073,10,0.1,0.49
,11:42:10,4,3600,472.5,0.52,13.3,7,12.5,0.073,10,0.1,0.49
,11:42:11,4,3600,473.5,0.53,13.3,7,12.5,0.074,10,0.1,0.49
